Time_Period,Clock,Site_2_A0_kW,Site_2_A2S_kW
1,08:00,4.367018249215561,4.367018249215561
2,08:15,0.0,4.282357668408671
3,08:30,4.282357668408671,4.303029593425177
4,08:45,4.303029593425177,2.6727839265230844
5,09:00,0.0,0.0
6,09:15,4.243406209328333,3.793958284150275
7,09:30,3.793958284150275,4.243406209328333
8,09:45,0.0,0.0
9,10:00,4.153169249934159,4.153169249934159
10,10:15,4.273312893817478,0.0
11,10:30,4.295138908084109,4.273312893817478
12,10:45,0.0,0.0
13,11:00,4.374301284916125,4.295138908084109
14,11:15,3.744842494522781,3.744842494522781
15,11:30,4.35471334235815,4.374301284916125
16,11:45,4.315963615822609,4.35471334235815
17,12:00,0.0,0.0
18,12:15,0.0,0.0
19,12:30,0.0,0.0
20,12:45,0.0,0.0
21,13:00,0.0,0.0
22,13:15,0.0,0.0
23,13:30,0.0,0.0
24,13:45,0.0,0.0
25,14:00,4.34108729357784,4.315963615822609
26,14:15,4.164603327846952,4.34108729357784
27,14:30,3.797259230336112,3.797259230336112
28,14:45,0.0,2.74881631185455
29,15:00,2.6727839265230844,0.0
30,15:15,2.74881631185455,2.776728312221735
31,15:30,2.776728312221735,2.6293312982721675
32,15:45,2.6293312982721675,4.164603327846952
33,16:00,0.0,0.0
34,16:15,3.8756632250343857,3.8756632250343857
35,16:30,2.7494849847154335,2.7494849847154335
36,16:45,2.687791207199425,2.687791207199425
37,17:00,0.0,0.0
38,17:15,0.0,0.0
39,17:30,0.0,0.0
40,17:45,0.0,0.0
41,18:00,0.0,0.0
42,18:15,0.0,0.0
43,18:30,0.0,0.0
44,18:45,0.0,0.0
45,19:00,0.0,0.0
46,19:15,0.0,0.0
47,19:30,0.0,0.0
48,19:45,0.0,0.0
49,20:00,0.0,0.0
50,20:15,0.0,0.0
51,20:30,0.0,0.0
52,20:45,0.0,0.0
53,21:00,0.0,0.0
54,21:15,0.0,0.0
55,21:30,0.0,0.0
56,21:45,0.0,0.0
57,22:00,0.0,0.0
58,22:15,0.0,0.0
59,22:30,0.0,0.0
60,22:45,0.0,0.0
61,23:00,0.0,0.0
62,23:15,0.0,0.0
63,23:30,0.0,0.0
64,23:45,0.0,0.0
65,00:00,0.0,0.0
66,00:15,0.0,0.0
67,00:30,0.0,0.0
68,00:45,0.0,0.0
69,01:00,0.0,0.0
70,01:15,0.0,0.0
71,01:30,0.0,0.0
72,01:45,0.0,0.0
73,02:00,0.0,0.0
74,02:15,0.0,0.0
75,02:30,0.0,0.0
76,02:45,0.0,0.0
77,03:00,0.0,0.0
78,03:15,0.0,0.0
79,03:30,0.0,0.0
80,03:45,0.0,0.0
81,04:00,0.0,0.0
82,04:15,0.0,0.0
83,04:30,0.0,0.0
84,04:45,0.0,0.0
85,05:00,0.0,0.0
86,05:15,0.0,0.0
87,05:30,0.0,0.0
88,05:45,0.0,0.0
89,06:00,0.0,0.0
90,06:15,0.0,0.0
91,06:30,0.0,0.0
92,06:45,0.0,0.0
93,07:00,0.0,0.0
94,07:15,0.0,0.0
95,07:30,0.0,0.0
96,07:45,0.0,0.0
